id;start_date;end_date;language
1;2019-12-12T06:23:33;2019-12-11T23:31:50;FRENCH
2;2019-12-11T16:59:49;2019-12-12T05:45:30;ENGLISH
3;2019-12-11T16:26:16;2019-12-11T18:22:35;FRENCH
4;2019-12-12T04:12:05;2019-12-11T20:33:44;ENGLISH
5;2019-12-12T07:21:41;2019-12-12T07:56:38;FRENCH
6;2019-12-11T13:36:58;2019-12-11T10:38:20;SPANISH
7;2019-12-11T22:47:02;2019-12-12T01:50:09;ENGLISH
8;2019-12-12T00:34:59;2019-12-12T08:59:37;FRENCH
9;2019-12-12T01:09:23;2019-12-12T09:46:47;ENGLISH
10;2019-12-11T18:20:19;2019-12-11T17:43:55;SPANISH
